product_id,product_name,aisle_id,department_id
17758,Strawberry Rhubarb Yoghurt,120,16
17766,Grain Free Turkey Formula Cat Food,41,8
17769,Diet Caffeine Free Naturally Flavored Lemon Lime Soda,77,7
17794,Carrots,83,4
17828,Organic Spinach & Feta Dinner Sausage,106,12
17872,Total 2% Lowfat Plain Greek Yogurt,120,16
18370,Organic Shredded Mozzarella,21,16
18382,Saltine Crackers,78,19
18441,Organic Ketchup,72,13
18465,Organic Grade A Free Range Large Brown Eggs,86,16
18479,Organic Low Sodium Vegetable Broth,69,15
18523,Total 2% All Natural Greek Strained Yogurt with Honey,120,16
18531,Organic Heavy Whipping Cream,53,16
18599,Garlic Couscous,4,9
18656,Organic Red Potato,83,4
18761,Balsamic Vinegar Of Modena,19,13
18880,Organic Free Range Low Sodium Chicken Broth,69,15
18926,Fat Free Strawberry Yogurt,120,16
18961,Organic Dark Chocolate Pomegranate Trail Mix Bar,3,19
18987,Hot Dog Buns,43,3
19019,Uncured Slow Cooked Ham,96,20
19051,"Pita Chips, Simply Naked, Party Size",107,19
19057,Organic Large Extra Fancy Fuji Apple,24,4
19156,Fat Free Blueberry Yogurt,120,16
19240,Organic Fuji Red Apple Chips,107,19
19543,Brioche Hot Dog Buns,43,3
19627,Butternut Squash Pear Stage 2 Baby Food,92,18
19678,Organic Russet Potato,83,4
19769,Zero Calorie Tonic Water,6,2
20084,Pineapple Apple Mint Organic Cold Pressed Juicd,31,7
20114,Jalapeno Peppers,83,4
20323,Strained Tomatoes,81,15
20350,Chicken Canned Kitten Food,41,8
20383,Pepper Greens,123,4
20574,Roasted Turkey,96,20
20632,Mache Rosettes French Salad Mix,123,4
20754,Mediterranean Mint Gelato,37,1
20785,Extra Sharp Aged Cheddar Cheese slices,21,16
20843,100% Pure Eucalyptus Essential Oil,101,17
20899,Goo Berry Pie Probugs Kefir,120,16
20920,Sage,16,4
20995,Organic Broccoli Florets,116,1
21040,Lavender 100% Pure Essential Oil Calming,101,17
21108,Cherry Vanilla Creme Soda,77,7
21137,Organic Strawberries,24,4
21150,Fire Grilled Steak Bowl,38,1
21174,I Heart Baby Kale,123,4
21198,Coconut Milk Non Dairy Frozen Dessert No Sugar Added Mint Chip,37,1
21227,Smart Dogs Veggie Hot Dogs,14,20
21298,Organic Cake Cones,37,1
21329,Organic Hearty Split Pea & Uncured Ham Soup,69,15
21376,Pretzel Crisps Original Deli Style Pretzel Crackers,107,19
21413,Organic Soba,66,6
21462,Zero Calorie Cola Soda,77,7
21573,Roasted Pine Nut Hummus,67,20
21616,Organic Baby Arugula,123,4
21709,Sparkling Lemon Water,115,7
21833,Herbs Chives,16,4
21903,Organic Baby Spinach,123,4
22000,The Original Worcestershire Sauce,72,13
22035,Organic Whole String Cheese,21,16
22124,Total 0% Raspberry Yogurt,120,16
22199,Extra-Dry Cava,134,5
22247,Organic Chives,16,4
22474,Cheddar Bunnies Snack Crackers,78,19
22475,Jicama,83,4
22559,Kitchen Cheese Enchilada,38,1
22742,Organic Sparkling Blood Orange Beverage,98,7
22825,Organic D'Anjou Pears,24,4
22829,Multigrain Flax Seeded Flatbread Crackers,78,19
22950,Natural Free & Clear Dishwasher Detergent Packs,74,17
22963,Organic Roasted Turkey Breast,96,20
23165,Organic Leek,83,4
23400,Organic Premium Tomato Paste,81,15
23516,Organic Unbleached All-Purpose Flour,17,13
23541,Veri Veri Teriyaki Marinade & Sauce,5,13
23592,RapidRise Yeast,17,13
23650,Electrolyte Water,115,7
23712,Natural Crackers,78,19
23765,Organic Smoked Turkey Breast,96,20
23879,Applewood Smoked Turkey Breast,96,20
24010,Wheat Gluten Free Waffles,52,1
24184,Red Peppers,83,4
24231,Tahitian Vanilla Bean Gelato,37,1
24341,Organic & Cold-Pressed Vegetable & Fruit Juice Vitality,31,7
24535,Plain Whole Milk Yogurt,120,16
24654,Potato Hot Dog Buns,43,3
24768,All Natural Honey Almond Butter,88,13
24799,Vanilla Skyr Nonfat Yogurt,120,16
24810,Organic Lightly Salted Brown Rice Cakes,78,19
24838,Unsweetened Almondmilk,91,16
24852,Banana,24,4
24952,"Tortilla Chips, Corn, Red Hot Blues",107,19
24954,Total 0% with Honey Nonfat Greek Strained Yogurt,120,16
24990,Go Mango! Organic Dried Chili Lime Mango,117,19
25133,Organic String Cheese,21,16
25146,Original Orange Juice,31,7
25199,Classic Chicken Salad,1,20
25623,Real Guacamole,67,20
25659,Organic Coconut Milk,91,16
25931,Organic Baby Spinach Salad,123,4
26088,Aged White Cheddar Popcorn,23,19
26209,Limes,24,4
26346,Organic Skim Milk,84,16
26352,Chicken Caesar Salad,1,20
26405,XL Pick-A-Size Paper Towel Rolls,54,17
26576,Yellow Corn Tortilla Chips,107,19
26604,Organic Blackberries,24,4
26790,Organic AppleApple,99,15
26882,Russet Potatoes,83,4
26940,Organic Large Green Asparagus,83,4
27104,Fresh Cauliflower,83,4
27156,Organic Black Beans,59,15
27243,Premium Pure Cane Granulated Sugar,17,13
27344,Uncured Genoa Salami,96,20
27413,100% Mighty Mango Juice Smoothie,31,7
27451,Almond Meal/Flour,17,13
27521,Organic Lacinato (Dinosaur) Kale,83,4
27555,Organic Dried Granny Apple Chips,107,19
27596,Classic Original Hommus,67,20
27690,Apple Cinnamon GoGo Squeez,50,19
27737,Brown Rice Black-Eyed Peas and Veggies Bowl,38,1
27845,Organic Whole Milk,84,16
27959,Premium Indian Tonic Water,77,7
27966,Organic Raspberries,123,4
27973,Almond Non-Dairy Yogurt Made From Real Almonds Plain Low Fat,120,16
28134,Grain Free Turkey Canned Cat Food,41,8
28289,Organic Shredded Carrots,123,4
28373,Original Rotisserie Chicken,13,20
28465,Icelandic Style Skyr Blueberry Non-fat Yogurt,120,16
28535,Cucumber & Garlic  Tzatziki,51,13
28842,Bunched Cilantro,16,4
28874,Carrot Ginger Soup,1,20
28918,Marcona Almonds,117,19
28928,Uncured Black Forest Ham,96,20
28985,Michigan Organic Kale,83,4
28986,Mild Italian Chicken Sausage,106,12
29594,YoKids Strawberry Banana/Strawberry Yogurt,120,16
29602,Ear Candy (Cow Ears) Dog Chews,40,8
29650,Pork Chorizo,122,12
29871,Organic Roast Beef,96,20
29894,Organic Dark Brown Sugar,17,13
29993,Organic Low Fat Chocolate Milk,84,16
30252,Organic Soft Wheat Bread,112,3
30305,Fancy Eggplant,83,4
30391,Organic Cucumber,83,4
30450,Creamy Almond Butter,88,13
30480,"Tomatoes, Whole Peeled",81,15
30489,Original Hummus,67,20
30563,Strained Non-Fat Strawberry Icelandic Style Skyr Yogurt,100,21
30855,Chocolate Hazelnut Butter Blend,88,13
30908,Teriyaki Turkey Jerky,23,19
30967,Organic Frosted Flakes Cereal,121,14
31066,Aluminum Foil,85,17
31343,Shredded Mild Cheddar Cheese,21,16
31506,Extra Virgin Olive Oil,19,13
31612,Black Bean Vegetables Burrito,38,1
31683,Original No Pulp 100% Florida Orange Juice,31,7
31717,Organic Cilantro,16,4
31883,Vegetable Lasagna,38,1
32030,Extra Sharp White Cheddar,21,16
32052,Organic Brown Rice Cake Salt-Free,78,19
32139,Hommus Classic Original,67,20
32177,Blood Oranges,24,4
32197,Organic Celery Root,83,4
32299,Dijon Mustard,72,13
32402,"Crackers, Crispy, Cheddar",78,19
32537,Parsley,16,4
32792,Chipotle Beef & Pork Realstick,23,19
33021,Reserve Cheddar Cheese,2,16
33037,Wheat English Muffins,93,3
33276,Kalamata Olive Spread,67,20
33572,Lactose Free 2% Reduced Fat Milk,91,16
33640,"Baked Beans, Vegetarian",59,15
33731,Grated Parmesan,21,16
33740,"Cara Cara Oranges, Bag",24,4
33754,Total 2% with Strawberry Lowfat Greek Strained Yogurt,120,16
33761,Moisturizing Conditioner Aloe Vera + Macadamia Oil,22,11
33787,Total 2% Lowfat Greek Strained Yogurt with Peach,120,16
33957,Mexican Casserole Bowl,38,1
34126,Organic Italian Parsley Bunch,16,4
34128,Tzatziki,67,20
34190,Organic Coconut Cream,66,6
34216,Chocolate Chip Bunny Grahams Whole Grain Graham Snacks Bunny Grahams,61,19
34284,Organic Light In Sodium Butternut Squash Soup,69,15
34358,Garlic,83,4
34448,Original Veggie Straws,50,19
34551,Organic Cane Sugar,17,13
34658,100% Recycled 2 Ply Jumbo Paper Towel Roll,54,17
34688,Good Belly Probiotics Juice Drink Blueberry Acai Flavor,31,7
35321,Organic Lowfat Milk,84,16
35333,Seasoning Bay Leaf,104,13
35469,Enchilada Black Bean Vegetable,38,1
35640,Beer Brats Sausage,14,20
35725,Organic Oregano,104,13
35738,Calabrese uncured italian Salami  with pepper and paprika,96,20
35765,Slow Cured Pepper + Garlic Salame Molisana,96,20
35917,Organic Just Concord Grape Juice,98,7
35948,Tonic Water,115,7
35951,Organic Unsweetened Almond Milk,91,16
35973,Paprika,104,13
36070,"Super Spinach! Baby Spinach, Baby Bok Choy, Sweet Baby Kale",123,4
36287,Smooth Operator Natural Peanut Butter,88,13
36606,Sprouted Multi-Grain Bread,112,3
36695,Organic Hothouse Cucumbers,83,4
36735,Organic Roasted Sliced Chicken Breast,96,20
36865,Non Fat Raspberry Yogurt,120,16
37602,Mexican Coffee,26,7
37646,Organic Gala Apples,24,4
37687,Organic Spring Mix,123,4
37803,Oyster Mushrooms,83,4
37999,Antioxidant Infusions Ipanema Pomegranate Beverage,31,7
38159,Organic Yellow Peaches,24,4
38164,Almonds & Sea Salt in Dark Chocolate,45,19
38277,Dairy Free Vanilla Coconut Milk,91,16
38293,Ground Turkey Breast,35,12
38456,Large Grapefruit,24,4
38547,Bubblegum Flavor Natural Chewing Gum,46,19
38596,Part Skim Ricotta Cheese,108,16
38656,Gluten Free Peanut Butter Dark Chocolate Chewy With a Crunch Granola Bars,3,19
38777,Organic Green Seedless Grapes,123,4
38928,0% Greek Strained Yogurt,120,16
38970,Organic Light Brown Sugar,17,13
38988,White English Muffins,93,3
39110,Red Chili Flakes,104,13
39121,Organic Jasmine Rice,38,1
39190,Vanilla Unsweetened Almond Milk,91,16
39275,Organic Blueberries,123,4
39409,"Ginger Root Beer, Naturally Flavored Zero Calorie Soda, Caffeine Free",77,7
39657,Milk Chocolate Almonds,45,19
39812,Organic Thyme,16,4
39877,Organic Granny Smith Apple,24,4
39922,Celery Sticks,123,4
39928,Organic Kiwi,24,4
40055,Unbleached Bread Flour,17,13
40198,Blueberry Yoghurt,120,16
40377,Unrefined Virgin Coconut Oil,19,13
40571,Total 2% Greek Strained Yogurt with Cherry 5.3 oz,120,16
40604,Feta Cheese Crumbles,21,16
40706,Organic Grape Tomatoes,123,4
40738,Superior Tonic Water,77,7
40852,Lactose Free Fat Free Milk,91,16
40992,Chopped Tomatoes,81,15
41220,Organic Romaine Lettuce,83,4
41259,Poblano Pepper,83,4
41290,Lemonade,31,7
41319,Sea Salt Caramel Gelato,37,1
41540,Organic Whole White Mushrooms,83,4
41787,Bartlett Pears,24,4
41844,Honey Nut Cheerios,121,14
41909,Bread & Butter Pickle Chips,110,13
42265,Organic Baby Carrots,123,4
42329,Private Selection Pinot Noir,28,5
42342,Roasted Turkey Breast,96,20
42347,Caffeine Free Diet Cola All Natural Soda,77,7
42356,Strawberry Preserves,88,13
42450,Macaroni & Cheese,38,1
42557,Crunchy Almond Butter,88,13
42585,Organic Extra Firm Tofu,14,20
42625,"Flat Parsley, Bunch",16,4
42647,Organic Poultry Blend Herbs,16,4
42736,Unsalted Butter,36,16
42803,Organic Apple Slices,50,19
42828,Whipped Cream Cheese,108,16
43014,Sliced Baby Bella Mushrooms,123,4
43295,Unsweetened Vanilla Almond Milk,91,16
43352,Raspberries,32,4
43693,Whole Vitamin D Milk,84,16
43704,Low Carb Whole Wheat Tortillas,128,3
43875,Baby Food Stage 2 Blueberry Pear & Purple Carrot,92,18
43961,Organic Peeled Whole Baby Carrots,123,4
43967,Raspberry Lemonade,31,7
44099,Organic Dried Porcini Mushrooms,63,9
44303,Organic Shredded Unsweetened Coconut,17,13
44359,Organic Small Bunch Celery,83,4
44632,Sparkling Water Grapefruit,115,7
44661,Bicolor Sweet Corn,83,4
44683,Brussels Sprouts,83,4
44910,Organic Spring Mix Salad,123,4
44987,Heavy Whipping Cream,53,16
45007,Organic Zucchini,83,4
45045,Organic Stage 3 Pumpkin Cranberry Apple Baby Food,92,18
45066,Honeycrisp Apple,24,4
45537,Classic Round Crackers,78,19
45613,Pad Thai,38,1
45628,Mango Rosewater Lassi Yogurt Drink,120,16
45645,Dark Chocolate Nuts & Sea Salt Bars,3,19
45664,Onion Powder,104,13
45767,Sunny Days Strawberry Snack Bars,92,18
45948,Gluten Free 7 Grain Bread,112,3
46149,Zero Calorie Cola,77,7
46157,Natural Beef & Chicken Formula Food for Cats,41,8
46676,Total 0% Nonfat Greek Yogurt,120,16
46886,Raspberry Yoghurt,120,16
46969,Organic Bosc Pear,24,4
46979,Asparagus,83,4
47042,Organic Red On the Vine Tomato,83,4
47144,Unsweetened Original Almond Breeze Almond Milk,91,16
47167,Organic Sunny Days Apple Snack Bars,92,18
47209,Organic Hass Avocado,24,4
47272,Antioxidant Infusions Beverage Malawi Mango,31,7
47380,New York Style Nova Lox,15,12
47526,Goat Cheese Log,21,16
47553,Sugarfree Peppermint Chewing Gum,20,11
47591,Prosciutto di San Daniele,96,20
47601,Unsalted Cultured Butter,36,16
47623,Seasoning Allspice,104,13
47626,Large Lemon,24,4
47672,Uncured Hickory Smoked Sunday Bacon,106,12
47766,Organic Avocado,24,4
47788,Honeydew Melon,24,4
47792,Organic Beans & Rice Cheddar Cheese Burrito,38,1
47912,Vanilla Skyr Style Yogurt,120,16
48099,Truffle Parmesan Macaroni & Cheese Bowl,38,1
48110,Thin Stackers Brown Rice Lightly Salted,78,19
48121,Solid White-No Salt Added Albacore Tuna,95,15
48204,Tamari Gluten Free Soy Sauce,66,6
48210,Whole Wheat Blueberry Fig Bars,48,14
48230,Soft Taco Size White Flour Tortillas,128,3
48523,Birthday Cake Light Ice Cream,37,1
48679,Organic Garnet Sweet Potato (Yam),83,4
48697,Canola Oil,19,13
48720,Shoestring Fries,129,1
48775,Organic Red Cabbage,83,4
48821,Pistachio Ice Cream,37,1
48835,Organic Unsweetened Vanilla Coconut Non-Dairy Beverage,84,16
49235,Organic Half & Half,53,16
49273,Light and Lean Quinoa Black Beans with Butternut Squash and Chard,38,1
49374,Organic Cultured Cream Cheese Spread,108,16
49401,"Chicken Base, Organic",69,15
49451,Artichoke Spinach Dip,67,20
49508,Antioxidant Infusions Costa Rica Clementine,31,7
49533,Cane Sugar,17,13
49683,Cucumber Kirby,83,4
